"country","obesityRate","bmi","pop2020"
"gabon","0.1500","25.5000","2225.7340"
"swaziland","0.1480"," ","1160.1640"
"tajikistan","0.1420","25.4000","9537.6450"
"brunei","0.1410","26.2000","437.4790"
"seychelles","0.1400","26.8000","98.3470"
"djibouti","0.1350","23.3000","988"
"mauritania","0.1270","24.8000","4649.6580"
"sao tome and principe","0.1240","24.8000","219.1590"
"cape verde","0.1180","24.7000","555.9870"
"cameroon","0.1140","24.4000","26545.8630"
"ghana","0.1090","24.2000","31072.9400"
"mauritius","0.1080","25.6000","1271.7680"
"gambia","0.1030","24","2416.6680"
"ivory coast","0.1030","23.6000","26378.2740"
"thailand","0.1000","24.1000","69799.9780"
"liberia","0.0990","24","5057.6810"
"republic of the congo","0.0960","23.3000","5518.0870"
"benin","0.0960","23.4000","12123.2000"
"guinea-bissau","0.0950","23.1000","1968.0010"
"nigeria","0.0890","23.4000","206139.5890"
"senegal","0.0880","23","16743.9270"
"sierra leone","0.0870","22.8000","7976.9830"
"maldives","0.0860","25.1000","540.5440"
"mali","0.0860","22.8000","20250.8330"
"pakistan","0.0860","23.8000","220892.3400"
"togo","0.0840","23.2000","8278.7240"
"tanzania","0.0840","23.1000","59734.2180"
"somalia","0.0830","21.9000","15893.2220"
"angola","0.0820","24.1000","32866.2720"
"zambia","0.0810","22.6000","18383.9550"
"equatorial guinea","0.0800","25.6000","1402.9850"
"comoros","0.0780","24.1000","869.6010"
"guinea","0.0770","22.7000","13132.7950"
"central african republic","0.0750","22.4000","4829.7670"
"martinique","0.0720","","375.2650"
"mozambique","0.0720","22.3000","31255.4350"
"kenya","0.0710","23","53771.2960"
"indonesia","0.0690","22.9000","273523.6150"
"north korea","0.0680","21.8000","25778.8160"
"dr congo","0.0670","22.2000","89561.4030"
"south sudan","0.0660","25.2000","11193.7250"
"sudan","0.0660","25.2000","43849.2600"
"bhutan","0.0640","23.8000","771.6080"
"philippines","0.0640","23.2000","109581.0780"
"china","0.0620","23.9000","1439323.7760"
"singapore","0.0610","23.7000","5850.3420"
"chad","0.0610","22.3000","16425.8640"
"rwanda","0.0580","22","12952.2180"
"malawi","0.0580","22.8000","19129.9520"
"myanmar","0.0580","22.6000","54409.8000"
"burkina faso","0.0560","22.1000","20903.2730"
"niger","0.0550","21.7000","24206.6440"
"afghanistan","0.0550","21.6000","38928.3460"
"burundi","0.0540","20.9000","11890.7840"
"laos","0.0530","22.6000","7275.5600"
"madagascar","0.0530","21.1000","27691.0180"
"uganda","0.0530","22","45741.0070"
"sri lanka","0.0520","23","21413.2490"
"eritrea","0.0500","20.5000","3546.4210"
"south korea","0.0470","23.9000","51269.1850"
"ethiopia","0.0450","20.6000","114963.5880"
"japan","0.0430","22.6000","126476.4610"
"nepal","0.0410","22.2000","29136.8080"
"cambodia","0.0390","21.9000","16718.9650"
"india","0.0390","21.9000","1380004.3850"
"timor-leste","0.0380","21.2000","1318.4450"
"bangladesh","0.0360","21","164689.3830"
"vietnam","0.0210","21.6000","97338.5790"
